CountryName,CapitalLatitude,CapitalLongitude
Albania,41.31666667,19.816667
Bulgaria,42.56926437,25.13671875
Croatia,43.977,15.9302
Cyprus,35.16666667,33.366667
Egypt,30.05,31.25
France,44.18220396,5.712890625
Georgia,42.38695144,42.56103516
Greece,39.28329387,21.90673828
Italy,40.81380923,15.66650391
Libya,31.85889704,21.75292969
Montenegro,42.52069953,19.00634766
Romania,45.05024027,25.20263672
Russia,44.902578,39.96826172
Spain,41.72213059,0.3515625
Turkey,37.90953362,29.06982422
Ukraine,47.56170075,31.75048828
Crimea,45.29034662,34.25537109
North Macedonia,41.64007838,21.66503906
